,area,perimeter,area blue,perimeter blue,percentage area blue,percentage perim blue
0,14687.0,854.54,3231.0,274.01,22.0,32.07
1,16872.0,758.26,5604.0,325.7,33.21,42.95
2,12535.0,733.43,1106.0,129.05,8.82,17.6
3,24177.0,947.8,10123.0,424.44,41.87,44.78
4,13535.0,666.25,558.0,91.79,4.12,13.78
5,13297.0,798.93,2576.0,191.56,19.37,23.98
6,15743.0,634.55,4298.0,378.41,27.3,59.63
7,10004.0,639.69,1200.0,124.4,12.0,19.45
8,15044.0,694.43,3333.0,226.4,22.16,32.6
9,16100.0,792.4,3946.0,317.2,24.51,40.03
10,13130.0,747.58,3240.0,215.25,24.68,28.79
11,11719.0,649.08,4898.0,332.0,41.8,51.15
12,13959.0,676.93,3624.0,226.39,25.96,33.44
13,17884.0,742.99,9277.0,594.39,51.87,80.0
14,17910.0,735.93,3325.0,232.1,18.57,31.54
15,8918.0,635.93,43.0,28.88,0.48,4.54
16,18493.0,877.61,3959.0,265.45,21.41,30.25
17,11730.0,617.19,3152.0,240.47,26.87,38.96
18,14632.0,721.6,8008.0,545.3,54.73,75.57
19,12762.0,774.14,1322.0,136.32,10.36,17.61
20,15760.0,803.65,4509.0,310.47,28.61,38.63
21,19477.0,864.27,6206.0,329.74,31.86,38.15
22,13422.0,725.51,4085.0,247.85,30.44,34.16
23,11547.0,658.13,2154.0,170.32,18.65,25.88
24,10034.0,795.61,1088.0,191.74,10.84,24.1
25,9359.0,737.93,90.0,34.88,0.96,4.73
26,20490.0,809.32,11996.0,659.42,58.55,81.48
27,10938.0,587.3,1802.0,193.74,16.47,32.99
28,9005.0,570.51,4046.0,356.28,44.93,62.45
29,13079.0,793.82,3136.0,216.71,23.98,27.3
30,14244.0,736.64,4332.0,276.2,30.41,37.49
31,13925.0,716.29,1413.0,143.28,10.15,20.0
32,8685.0,620.08,387.0,73.11,4.46,11.79
33,11286.0,715.92,745.0,108.92,6.6,15.21
34,19464.0,843.63,8322.0,430.24,42.76,51.0
35,16106.0,839.53,4756.0,355.32,29.53,42.32
36,13975.0,686.45,2919.0,217.72,20.89,31.72
37,13851.0,700.18,3476.0,301.81,25.1,43.1
38,13988.0,724.51,1435.0,193.57,10.26,26.72
39,13454.0,670.94,2592.0,224.37,19.27,33.44
40,16281.0,781.23,3710.0,274.74,22.79,35.17
41,11462.0,748.68,1556.0,163.2,13.58,21.8
42,13251.0,678.83,1713.0,222.11,12.93,32.72
43,16633.0,717.23,5473.0,313.75,32.9,43.75
44,16538.0,685.39,4221.0,286.59,25.52,41.81
45,12524.0,721.11,5509.0,351.38,43.99,48.73
46,16619.0,702.68,5912.0,425.07,35.57,60.49
47,12630.0,812.21,3097.0,221.83,24.52,27.31
48,11905.0,769.54,1032.0,117.24,8.67,15.23
49,16919.0,785.24,1803.0,176.36,10.66,22.46
50,16083.0,719.68,2775.0,208.15,17.25,28.92
51,15905.0,722.82,2798.0,210.19,17.59,29.08
52,16934.0,695.41,5084.0,436.01,30.02,62.7
53,12800.0,618.23,3650.0,361.43,28.52,58.46
54,13360.0,802.77,2122.0,180.21,15.88,22.45
55,13940.0,696.48,3330.0,265.18,23.89,38.07
56,16325.0,756.02,11139.0,633.49,68.23,83.79
57,18061.0,730.23,11419.0,616.96,63.22,84.49
